"DEP","LIBDEP","CODGEO","LIBGEO","ANNEE","Mise en commun d'agents de police municipale entre plusieurs communes (binaire)","Nombre d'agents de police municipale","Nombre d'ASVP","Nombre de gardes champêtres","Nombre de brigades canines (2014)","Nombre de maîtres chiens de police municipale","Nombre de chiens de patrouille de police municipale","Population au 1er janvier de l'année d'enquête","Population au 1er janvier de l'année suivante (donnée 2024 égale au recensement 2023)","Commune nouvelle (résultats obtenus, les années pertinentes, par addition des effectifs des communes ayant fusionné)"
"01","AIN","01004","AMBERIEU_EN_BUGEY",2013,NA,10,2,1,0,NA,NA,14359,14022,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2014,NA,10,4,0,NA,0,0,14022,14127,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2015,NA,12,3,0,NA,0,0,14127,14081,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2016,NA,7,1,0,NA,0,0,14081,14035,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2017,NA,7,0,0,NA,0,0,14035,14204,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2018,NA,7,0,0,NA,0,0,14204,14134,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2019,NA,8,0,0,NA,0,0,14134,14288,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2020,NA,8,0,0,NA,0,0,14288,14854,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2021,1,8,0,0,NA,0,0,14854,15554,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2022,1,8,0,0,NA,0,0,15554,15934,0
"01","AIN","01004","AMBERIEU_EN_BUGEY",2023,1,8,0,0,NA,0,0,15934,15934,0
"01","AIN","01053","BOURG_EN_BRESSE",2013,NA,23,7,0,0,NA,NA,40490,40967,0
"01","AIN","01053","BOURG_EN_BRESSE",2014,NA,26,8,0,NA,0,0,40967,40819,0
"01","AIN","01053","BOURG_EN_BRESSE",2015,NA,26,8,0,NA,0,0,40819,41365,0
"01","AIN","01053","BOURG_EN_BRESSE",2016,NA,24,8,0,NA,0,0,41365,41527,0
"01","AIN","01053","BOURG_EN_BRESSE",2017,NA,23,8,0,NA,0,0,41527,41248,0
"01","AIN","01053","BOURG_EN_BRESSE",2018,NA,23,8,0,NA,0,0,41248,41111,0
"01","AIN","01053","BOURG_EN_BRESSE",2019,NA,25,0,0,NA,0,0,41111,41681,0
"01","AIN","01053","BOURG_EN_BRESSE",2020,NA,23,7,0,NA,2,2,41681,41525,0
"01","AIN","01053","BOURG_EN_BRESSE",2021,1,26,9,0,NA,3,3,41525,42065,0
"01","AIN","01053","BOURG_EN_BRESSE",2022,1,28,9,0,NA,3,3,42065,42372,0
"01","AIN","01053","BOURG_EN_BRESSE",2023,1,28,9,0,NA,3,3,42372,42372,0
"01","AIN","01283","OYONNAX",2013,NA,14,5,0,1,NA,NA,22258,22485,0
"01","AIN","01283","OYONNAX",2014,NA,18,5,0,NA,2,2,22485,22392,0
"01","AIN","01283","OYONNAX",2015,NA,18,5,0,NA,2,2,22392,22559,0
"01","AIN","01283","OYONNAX",2016,NA,14,4,0,NA,2,2,22559,22427,0
"01","AIN","01283","OYONNAX",2017,NA,13,4,0,NA,1,1,22427,22336,0
"01","AIN","01283","OYONNAX",2018,NA,14,3,0,NA,1,1,22336,22456,0
"01","AIN","01283","OYONNAX",2019,NA,14,5,0,NA,3,2,22456,22271,0
"01","AIN","01283","OYONNAX",2020,NA,19,6,0,NA,3,3,22271,22277,0
"01","AIN","01283","OYONNAX",2021,0,23,7,0,NA,4,4,22277,22378,0
"01","AIN","01283","OYONNAX",2022,0,22,6,0,NA,0,0,22378,22480,0
"01","AIN","01283","OYONNAX",2023,0,20,3,0,NA,0,0,22480,22480,0
"01","AIN","01033","VALSERHONE",2013,NA,7,1,1,0,NA,NA,15847,16084,1
"01","AIN","01033","VALSERHONE",2014,NA,6,1,1,NA,0,0,16084,16303,1
"01","AIN","01033","VALSERHONE",2015,NA,6,1,0,NA,0,0,16303,16302,1
"01","AIN","01033","VALSERHONE",2016,NA,5,2,1,NA,0,0,16302,16423,1
"01","AIN","01033","VALSERHONE",2017,NA,7,2,0,NA,0,0,16423,16431,1
"01","AIN","01033","VALSERHONE",2018,NA,8,2,0,NA,0,0,16431,16378,1
"01","AIN","01033","VALSERHONE",2019,NA,8,0,0,NA,0,0,16378,16434,1
"01","AIN","01033","VALSERHONE",2020,NA,9,0,0,NA,0,0,16434,16295,1
"01","AIN","01033","VALSERHONE",2021,0,9,3,0,NA,0,0,16295,16162,1
"01","AIN","01033","VALSERHONE",2022,0,9,3,0,NA,0,0,16162,16712,1
"01","AIN","01033","VALSERHONE",2023,0,9,3,0,NA,0,0,16712,16712,1
